idDrink,strDrink,strDrinkAlternate,strTags,strVideo,strCategory,strIBA,strAlcoholic,strGlass,strInstructions,strInstructionsES,strInstructionsDE,strInstructionsFR,strInstructionsIT,strInstructionsZH-HANS,strInstructionsZH-HANT,strDrinkThumb,strIngredient1,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strMeasure1,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strImageSource,strImageAttribution,strCreativeCommonsConfirmed,dateModified,ENH_Measure1a,ENH_Measure1b,ENH_Measure1c,ENH_Measure1d,ENH_Measure1e
17222,A1,,,,Cocktail,,Alcoholic,Cocktail glass,"Pour all ingredients into a cocktail shaker, mix and serve over ice into a chilled glass.","Verter todos los ingredientes en una coctelera, mezclar y servir con hielo en una copa fría.","Alle Zutaten in einen Cocktailshaker geben, mischen und über Eis in ein gekühltes Glas servieren.","Verser tous les ingrédients dans un shaker, mélanger et servir avec des glaçons dans un verre réfrigéré.","Versare tutti gli ingredienti in uno shaker, mescolare e servire con ghiaccio in un bicchiere freddo.",,,https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg,Gin,Grand Marnier,Lemon Juice,Grenadine,,,,,,,,,,,,1 3/4 shot ,1 Shot ,1/4 Shot,1/8 Shot,,,,,,,,,,,,,,N,2017-09-07 21:42:09,1,3/4,shot,,
13501,ABC,,,,Shot,,Alcoholic,Shot glass,Layered in a shot glass.,Coloque todos los ingredientes en un vaso de chupito.,Schichtaufbau in einem Schnapsglas.,,"Versa in ordine di lettera i vari ingredienti. 1/3 del bicchiere va riempito con l'Amaretto, 1/3 di Baileys e il restante di Cognac.",,,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg,Amaretto,Baileys irish cream,Cognac,,,,,,,,,,,,,1/3 ,1/3 ,1/3 ,,,,,,,,,,,,,,,N,2016-08-31 19:32:08,1/3,,,,
17225,Ace,,,,Cocktail,,Alcoholic,Martini Glass,Shake all the ingredients in a cocktail shaker and ice then strain in a cold glass.,Agitar todos los ingredientes en una coctelera con hielo y colar en un vaso frío.,Alle Zutaten in einem Cocktailshaker mit Eis schütteln und dann in einem kalten Glas abseihen.,"Agiter tous les ingrédients dans un shaker avec de la glace, puis filtrer dans un verre froid.","Shakerare tutti gli ingredienti in uno shaker e ghiaccio, quindi filtrare in un bicchiere freddo.",,,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg,Gin,Grenadine,Heavy cream,Milk,Egg White,,,,,,,,,,,2 shots ,1/2 shot ,1/2 shot ,1/2 shot,1/2 Fresh,,,,,,,,,,,,,N,2017-09-07 22:05:06,2,shots,,,
14610,ACID,,,,Shot,,Alcoholic,Shot glass,Poor in the 151 first followed by the 101 served with a Coke or Dr Pepper chaser.,"Vierta primero el Bacardi 151, seguido del Wild Turkey 101 y sirva con Coca-Cola o Dr Pepper.","Gering den 151 gefolgt von der 101, die mit einer Cola oder Dr. Pepper Chaser serviert wird.",,"Versa prima il Bacardi 151 seguito dal 101, servito con una Coca-Cola.",,,https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg,151 proof rum,Wild Turkey,,,,,,,,,,,,,,1 oz Bacardi ,1 oz ,,,,,,,,,,,,,,,,N,2016-11-15 11:28:37,1,oz,Bacardi,,
13938,AT&T,,,,Ordinary Drink,,Alcoholic,Highball Glass,"Pour Vodka and Gin over ice, add Tonic and Stir","Vierta el vodka y la ginebra sobre el hielo, añada la tónica y remueva","Wodka und Gin über das Eis gießen, Tonic hinzufügen und umrühren.","Verser la vodka et le gin sur de la glace, ajouter le Tonic et remuer.","Versare la vodka e il gin sul ghiaccio, aggiungere l'acqua tonica e mescolare",,,https://www.thecocktaildb.com/images/media/drink/rhhwmp1493067619.jpg,Absolut Vodka,Gin,Tonic water,,,,,,,,,,,,,1 oz ,1 oz ,4 oz ,,,,,,,,,,,,,,,N,2017-04-24 22:00:19,1,oz,,,
17837,Adam,,"Alcoholic,Holiday",,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.","En una coctelera llena hasta la mitad con cubitos de hielo, mezcle todos los ingredientes. Agitar bien. Colar en una copa de cóctel.","In einem Shaker, der halb mit Eiswürfeln gefüllt ist, alle Zutaten vermengen. Gut schütteln. In ein Cocktailglas abseihen.","Dans un shaker à moitié rempli de glaçons, mélanger tous les ingrédients. Bien agiter. Filtrer dans un verre à cocktail.","In uno shaker riempito a metà con cubetti di ghiaccio, unire tutti gli ingredienti.Agitare bene.Filtrare in un bicchiere da cocktail.",,,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg,Dark rum,Lemon juice,Grenadine,,,,,,,,,,,,,2 oz ,1 oz ,1 tsp ,,,,,,,,,,,,,,,Y,2016-09-02 11:29:29,2,oz,,,
17833,A. J.,,,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake ingredients with ice, strain into a cocktail glass, and serve.","Agitar los ingredientes con hielo, colar en una copa de cóctel y servir.","Zutaten mit Eis schütteln, in ein Cocktailglas abseihen und servieren.","Secouer les ingrédients avec de la glace, filtrer dans un verre à cocktail et servir.","Shakerare gli ingredienti con ghiaccio, filtrare in una coppetta da cocktail e servire.",,,https://www.thecocktaildb.com/images/media/drink/l74qo91582480316.jpg,Applejack,Grapefruit juice,,,,,,,,,,,,,,1 1/2 oz ,1 oz ,,,,,,,,,,,,,,,,Y,2016-09-02 11:16:58,1,1/2,oz,,
17839,Affair,,,,Ordinary Drink,,Alcoholic,Highball glass,"Pour schnapps, orange juice, and cranberry juice over ice in a highball glass. Top with club soda and serve.","Vierta el aguardiente, el zumo de naranja y el zumo de arándanos sobre hielo en un vaso alto. Añadir club soda y servir.","Gießen Sie Schnaps, Orangensaft und Cranberrysaft über Eis in ein Highball-Glas. Mit Club-Soda überziehen und servieren.","Verser le schnaps, le jus d'orange et le jus de canneberge sur de la glace dans un verre highball. Compléter avec du club soda et servir.","Versare la grappa, il succo d'arancia e il succo di mirtillo rosso sul ghiaccio in un bicchiere highball. Completare con la soda club e servire.",,,https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg,Strawberry schnapps,Orange juice,Cranberry juice,Club soda,,,,,,,,,,,,2 oz ,2 oz ,2 oz ,,,,,,,,,,,,,,,Y,2016-09-01 10:05:34,2,oz,,,
15266,Avalon,,,,Ordinary Drink,,Alcoholic,Highball glass,"Fill a tall glass with ice. Layer the Finlandia Vodka, lemon and apple juices, Pisang Ambon, and top up with lemonade. Stir slightly and garnish with a spiralled cucumber skin and a red cherry. The cucumber provides zest and looks attractive. This drink, created by Timo Haimi, took first prize in the 1991 Finlandia Vodka Long Drink Competition.","Llene un vaso alto con hielo. Añadir el Finlandia Vodka, los zumos de limón y manzana, el Pisang Ambon y completar con limonada. Remover ligeramente y decorar con una piel de pepino en espiral y una cereza roja. El pepino aporta sabor y un aspecto atractivo. Esta bebida, creada por Timo Haimi, obtuvo el primer premio en el Concurso de Tragos Largos con Vodka Finlandia de 1991.","Füllen Sie ein hohes Glas mit Eis. Legen Sie den Finlandia Wodka, Zitronen- und Apfelsäfte, Pisang Ambon und geben Sie Limonade dazu. Leicht umrühren und mit einer spiralförmigen Gurkenhaut und einer roten Kirsche garnieren. Die Gurke sorgt für Schärfe und sieht attraktiv aus. Dieses von Timo Haimi kreierte Getränk erhielt 1991 den ersten Preis beim Finlandia Wodka Long Drink Wettbewerb.","Remplir un grand verre de glace. Superposer la vodka Finlandia, les jus de citron et de pomme, le Pisang Ambon et compléter avec de la limonade. Remuer légèrement et décorer d'une spirale de concombre et d'une cerise rouge. Le concombre apporte du piquant et est très esthétique. Cette boisson, créée par Timo Haimi, a remporté le premier prix du concours de Long Drink de Finlandia Vodka en 1991.","Riempi un bicchiere alto di ghiaccio.
Versare la Vodka, succhi di limone, mela, Pisang Ambon o un liquore alla banana e completare con la limonata.
Mescolare leggermente e guarnire con una buccia di cetriolo a spirale e una ciliegia rossa.
Il cetriolo fornisce la scorza e sembra attraente.
Questa bevanda, creata da Timo Haimi, ha vinto il primo premio nel 1991 Finlandia Vodka Long Drink Competition.",,,https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg,Vodka,Pisang Ambon,Apple juice,Lemon juice,Lemonade,,,,,,,,,,,3 parts,1 part ,6 parts ,1 1/2 part ,,,,,,,,,,,,,,N,2017-04-24 22:22:11,3,parts,,,
15106,Apello,,,,Other / Unknown,,Non alcoholic,Collins Glass,Stirr. Grnish with maraschino cherry.,Revuelva. Grnish con cereza al marrasquino.,Rühren. Mit Maraschinokirsche garnieren.,Remuer. Garnir de cerises au marasquin.,"Versare tutti gli ingredienti in un mixing glass. Mescolate.
Guarnire con una ciliegia al maraschino.",,,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg,Orange juice,Grapefruit juice,Apple juice,Maraschino cherry,,,,,,,,,,,,4 cl ,3 cl ,1 cl ,1 ,,,,,,,,,,,,,,N,2016-07-18 22:13:35,4,cl,,,
